name,condition,rating,cost,url
*AS IS*For Parts* ASRock Challenge,Parts Only · ASRock · AMD Radeon RX 5700 XT · 8 GB,,$60.00,https://www.ebay.com/itm/326145857691?itmmeta=01HZ5T06DMYAK1NWXRH0Y7G7QM&hash=item4befced89b:g:tLkAAOSwfHhmWPb0&itmprp=enc%3AAQAJAAAAwHML4zoWhSXqIHLcqLbpIQCt2qQxwh%2F7DdvdD5dSNh0E%2B7DK5H1dn4PBeOLhYbAixQYj6tHwliRHEFNywyAfqNxsJcz%2B5m6UgicuFgyM3KBWaaGh4LPZJ%2B9qmsupbTnYFPfhzKhwIqULpwRmSck6K3ZBKCFx6nl9D8xRvr3fWe1Rwxe6jlpsoLt95JpQntcwZqTS2KZQAIe%2F4O6ZLRnSRMnzV77TzmUp2YJh%2B6W6uL8VNNHYSxffLI4I8jhnkZBN%2FQ%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
Nvidia Tesla P40 24GB GPU Card GDDR5 PCI-E KM3C2 Graphics / video cards,Pre-Owned · NVIDIA · 24 GB,5.0 out of 5 stars.,$169.00,https://www.ebay.com/itm/204466541675?epid=27032254618&itmmeta=01HZ5T06DMN8CQ1GJPEAWQ70GD&hash=item2f9b27d46b:g:LPoAAOSwOXVlB-e5&itmprp=enc%3AAQAJAAAA4IvaGWYlCU%2B1XMVSeRgOLEJZwT2Z2ck%2FTsHgxUbRdk7lrS4Zc6EyLTFYTYzIcKoVjzBwkVYImcVoQMfyA5iTfoVNE7oYXaRcDBkVBCOJlYGDR1%2FWQInN6%2BH4cfXpS4N%2F8LDmnjviq6Csuhqcq%2BkH7DZXVuTdPx75hdsnREcU870icPAhcITKjTNjzgW3yyLaX7WMNJD%2Fy6W7QXaJQ%2BDOyzgXTCj%2B0x%2BENszdLTyvl3d7OPIgUNDQBiEnMvQja8WeMtVhzo%2FUoCGHnDk0DninOedYoKlw8qErJe9NxyZq5%2FRL%7Ctkp%3ABk9SR4jngLr5Yw
AMD Radeon Pro Wx 5100 8GB GDDR5 G,Pre-Owned · AMD · AMD Radeon Pro Wx 5100 · 8 GB,5.0 out of 5 stars.,$50.00,https://www.ebay.com/itm/405007655592?epid=2254550965&itmmeta=01HZ5T06DMCDC2BA433A6MA1ZY&hash=item5e4c5662a8:g:GF4AAOSwRgFmWOkQ&itmprp=enc%3AAQAJAAAA4P2QPsTOK8KvSzKU%2FDC44vzDKcwpS%2FyFfN5gN69TO7Z1tkSZp1YbruX0AXckQ2YYoMKoW%2BO%2FS%2F3SM7185uRzl5M7rlvAjG%2FJi92%2BJnOigzotSMCnKCk8K3itHedGSsUOtkgHx6mKoQenmH%2BKAaFIDzq5v9zZR7VzafwC3fRJhZ%2F2%2FMZzi%2B9JM0T4ECrDzpv%2FqWIm0UD520ZGZ6zsDNK5MevYSNCCouaCJjLjX%2FYEdZ44VK4FaweHMQxWnJd09H3anMz1KZkjfvp2hbU6SzpLuLlB4DoTHWn4fECOXe8dkbay%7Ctkp%3ABFBMiOeAuvlj
Original Radiator 1080TI FTW3 Graphics Card Radiator professional heat sink fan,Pre-Owned,,$107.99,https://www.ebay.com/itm/256044608503?itmmeta=01HZ5T06DM3J1SDV5ZQD3NMJGE&hash=item3b9d72abf7:g:iSIAAOSwn~xkOmvl&itmprp=enc%3AAQAJAAAA4DKgMJC7uYtID3Ne9TtIV8EdfiU4weVat3UOGtqUulqg3O4fsDT40b%2FKxnSz3e1%2FsdZlLs%2FnwEYwIuRw2flU9P64AKfTlGzfC5vEq9M5ZMBdWpJQPjramPn45ufjmdB89IO1lhsa3lsCMgsMiXJDNv31Ui02JXstJjyhN60dX73ip5m90G1txbndUIIsAOxRvN2E5D9MsNAFFgd6GuaQylgLQusbPIcIXGISlv07PRNiuQ8DlA%2FggNx%2FvrN9UvsoUOpouztawzQ%2F033F9LxpB3VIyB9swT%2Bi48j89TL4hI2S%7Ctkp%3ABFBMiOeAuvlj
NVIDIA EVGA GeForce GTX 1050 Ti 4G,Pre-Owned · EVGA · NVIDIA GeForce GTX 1050 Ti · 4 GB,5.0 out of 5 stars.,$74.95,https://www.ebay.com/itm/196418979554?epid=20003297363&itmmeta=01HZ5T06DMBJQWD4571KFGY4CD&hash=item2dbb7bc6e2:g:ObsAAOSwRt9mWLa6&itmprp=enc%3AAQAJAAAA4AoNA38Y%2BNelWgLjoE0%2B3fAbRjEKPEmAzORtvBu3H7ex7xUen6KtfWx14pBgD%2FGgai8OwVMWdWY5YggsuaKlH%2Bfh2ZTOwqz5Ca%2BDfltMdI%2BXL7iyLZD5bROhwNeG130QXehOPSdNrEwsvcucZZtPEhlzzwRSYa3G9IVr9evf7ml1xACkNtdlc8NXgCkAXZ9w6PL4GZxA0oA5%2FWwPs9N8Oh0j4uvM4uM4FCzB8tL%2B43koZccr%2Fb%2BndbTZwKk5dn3A3xqK0Q4de7CzsKTBd49QzdhSsHOgaVQQr3is5GmLiFWx%7Ctkp%3ABFBMiOeAuvlj
GTX980M Graphics Card N16E-GX-A1 8G GDDR5 Graphic Card Accessory for Laptop,Brand New · Unbranded,,$148.96,https://www.ebay.com/itm/404916851631?itmmeta=01HZ5T06DM73FS5FWSMKG8E4Y4&hash=item5e46ecd3af:g:DAgAAOSwol1mF1pT&itmprp=enc%3AAQAJAAAA4GVitYICLPwU8x3q398eUYfE1xAmILOfmH6MdteN0YoF4FIMuDpSHq8IPA5glG7eOkxCH4WyPmDIG08F5QyTLdyiPabH9U4RDsPLgj2tNVz0gONlkbJ6%2B0%2FEIytD%2F2zS3lzvcR%2FUGd0Zvm8rTWd7%2BpyTBp81rpNra4Gfci5LBRJKVYqouPog7c8%2B22L2IqmR4IwbZAF9YTpIbW0lyrnXE6wy3D2xTCQV1nqbrR5XsQFj3ZdS%2BOG1hfd1B75IuBlMWrmg15fi%2FCfc8VnI0L7fFHuu8Y7ClXW12lvJDnXYJAGJ%7Ctkp%3ABFBMiOeAuvlj
Graphics Card - NVIDIA GeForce GTX1650 4GB  L34260-001,Pre-Owned · HP,,$75.00,https://www.ebay.com/itm/256518124902?epid=23059722280&itmmeta=01HZ5T06DMKMKZNJTC2HSQWD4S&hash=item3bb9abf566:g:ZIUAAOSwTc9mS6uH&itmprp=enc%3AAQAJAAAAwFVotP%2BIebmyb1jRgP%2FvJ5WodtaxeBOaw79V87Um51gmsGryGHFjihrgHmwhVtvIBkTYVaN8u4i08cum0hxWaO3elnO%2BbYMGgMSfASnAAHYjZJFqZwtdm5Y00RRple%2FXTKRtW5ayU8sRnxbTyKy1PFlfGAdu3DRV0AuJJxT3rtuTYTUjwh8SUtNnSJhC4MJAcpNhLXqyIGYE%2BxNQ270GXV3fthhOM7iffUcJVrD2xFRWquN0DOty5vt8SJ8YNQthCg%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
ZOTAC GeForce GTX 1070 Ti 8GB GDDR,Pre-Owned · ZOTAC · NVIDIA GeForce GTX 1070 Ti · 8 GB,5.0 out of 5 stars.,$24.00,https://www.ebay.com/itm/126506864649?epid=28052153005&itmmeta=01HZ5T06DMJ6BB70TK6DWZ1XXT&hash=item1d74659009:g:G7IAAOSweXJmRCkC&itmprp=enc%3AAQAJAAAAwAd4Q%2BsPPaTv66J%2Fy8HWlxZY1gf7OD5jvfs9XW6clxW3xMiBN%2B4KCCGym4osRTuLKZz%2B%2F4xT2Y0A3%2FmB8tR%2FOJ51yXN3ux%2FrgpiJI5O17daT1nY8QWY9HFpboJNjM2XXCKdcFm6MYB2wNXjBak13oU9pkx4v2a3eiKJnwN4g1LIVH6tx4grclTNVtc%2FE225g7fsI1Ck3zlpUPX92eWFSM6Jqv1MsKEI7eZswmxZObq6vJTILbOrXwvFjsrExmzelSw%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
USED DELL AMD RADEON RX 5700 XT 8G,Pre-Owned · Dell · AMD Radeon RX 5700 XT · 8 GB,,$120.00,https://www.ebay.com/itm/145805306594?epid=7052155922&itmmeta=01HZ5T06DMMDWG3Z8WF5380AZG&hash=item21f2ac6ae2:g:MlAAAOSwoYZmWNSL&itmprp=enc%3AAQAJAAAAwBOXUoygOV%2B5mL1YncDDsmYqN6QivZddjaN6qWEtgXr%2BT5HLT3Q%2BEMlU2KtadD6%2BiGOIqXT4DL9oXwihERlqdIr4swh%2Bl38Go2igGZ8kUoDM8jsC%2BuI0nx5Pwi1l8KRuM6sjQDff64QNz8Lrl%2BQSAlLScog96%2FCag35Q76QTuMmDXuIw1ZPvVESzfbINxPotC%2FocW9s5J86LsydaofNX%2FP2igyDOFO8nKY%2FLgwvWn8x8Q%2Flffl3ELveSZhbtSS2GUQ%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
"10 lb Bulk Gaming Graphics Cards - RX 580, GTX 970, Quadro P1000, GTX 1060",Parts Only · NVIDIA · NVIDIA GeForce GTX 1060 · 6 GB,,$99.99,https://www.ebay.com/itm/186372019482?itmmeta=01HZ5T06DMH3QV5MRWTYC9172Z&hash=item2b64a3551a:g:E0wAAOSwKglmCwWh&itmprp=enc%3AAQAJAAAA4GrHItDzvkvKv8ZjSTM9SQUc32TY0GQIWZoUxt4MJA22mHEISr0IgfX8oHpfRoQyd1LcZoXGaoggBMca7kjrVtYa602RJEKOgo48Fp4tLefeCdahIzFQ58iPOiUEWOqGeL7nvGXAZIiFoC5n5ttkmX3C6boLLZAnRyIbQIuArjyy8VtRVeIEEMMh6%2BBLMAscwpUzAybc2h8q0BJuYeEJKVzo1B%2Bp9LLqRyzrZgGHedlzbxjhCM5a%2BD%2Frre4mNiUWhf0LpU%2BDcH034D1x7N%2FLqX1Tkeycbn%2FrKZbO%2BVq6Lc2x%7Ctkp%3ABk9SR4jngLr5Yw
PowerColor Fighter AMD Radeon RX 6700 XT 12GB GDDR6 Graphics Card,Pre-Owned · PowerColor · AMD Radeon RX 6800 XT · 12 GB,5.0 out of 5 stars.,$256.99,https://www.ebay.com/itm/256526591230?epid=28046140221&itmmeta=01HZ5T06DM2A3P5QXNC2E8J3A7&hash=item3bba2d24fe:g:uLoAAOSwV~xmUOYW&itmprp=enc%3AAQAJAAAAwOxzjT0xgLpgQZ7l5m08x9W30uIsPMT7TxxfuDY1E1spqUyPxkkWP1EZ1uNE5CRfkIi9A1rmGmfMxQqVAxd5Cln2ywEx0Z1rhERaiAj6QEXnrlfnMm2OLo4YtRwGuP75KfCUZF%2BoObbi%2ByECh7yMcmqupjbMfAssX6Uqpwp7ItRmVX1cxfVf0H6dB7wT5PIzVw2YGD%2FVXkkj69nk1Gxj6poA9WoQVVDpnAFx0bSRB0Jsdr7R0h2XGKO7KxfAFejcaQ%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6 Graphics Card - GPU,Pre-Owned · NVIDIA · NVIDIA GeForce RTX 3090 · 24 GB,4.5 out of 5 stars.,$310.00,https://www.ebay.com/itm/405002842878?epid=6041238838&itmmeta=01HZ5T06DM8JFJSZ7W11YM6KV7&hash=item5e4c0cf2fe:g:LuQAAOSwC5RmP6~c&itmprp=enc%3AAQAJAAAA4KFd3w0Do63niEWbSgZA%2FrwUHnvdgbFCv%2FRhRVGoRq0fDGT1mOHlkGQpkKQG3mj3JAXJ57f0qCN7orxAyMZ8vEM3yUL%2B6o%2BrM4N9n9Ffr2wn%2FcGCAfDzjk7G0AXFOs2U%2FPDGLkTkHJ5JojE68%2F3KVG7YW3vJkIhhK4NzB%2BtnoRVTii1kKb1525CZ9yzt64Ocot4msJy3DSfiTMsRcOMQNTzcVb8vdN8EKoo2rcdOS%2FOjxRfZMCwnLdqjnY8Wj3Ql9QPjtMWDQcjhK1OqspyVdVljPnYPcMTBS%2BqZ8%2BRyWFR4%7Ctkp%3ABk9SR4jngLr5Yw
"Gigabyte GeForce RX 6800 XT Aorus 16GB GDDR6 Graphics Card - DisplayPort, HDMI",Parts Only · GIGABYTE · AMD Radeon RX 6800 XT · 16 GB,,$249.99,https://www.ebay.com/itm/186365496183?itmmeta=01HZ5T06DM9YVPRPDNTS3JEK0Z&hash=item2b643fcb77:g:GrcAAOSwol1mBHsq&itmprp=enc%3AAQAJAAAA4JJVaI9OF9NY8hQZz05xRX43Tycl2wJowGCaOofVtLHK3fbWOAborE6jcYl6Pa4II9nFvPXeoTcLNd9r24fbZ%2BXc%2FB4pXxRH%2ByEuOLK%2BHkPfv9%2FeKWYjUtnDyGL6Rh9f4UBAhI30VmRty4UDuvcrxlpcevt1OeJ09Qw7V44cqVcAduJyxP4uFhxyiVyc2JSkeORgkUZ2CiKFHdN%2BA4mX0gXkYzIgz%2FBGcINn%2FwOd9eTtQutWcIaH4bgDuT0NK1BEiG7XF%2FcrwC7cNCzs9FF3Q4Koomgs3LLX9%2FyglwJV9lIt%7Ctkp%3ABk9SR4jngLr5Yw
NVIDIA GeForce GTX 1080 TI Founders Edition 11GB GDDR5X Graphics Card,Pre-Owned · NVIDIA · NVIDIA GeForce GTX 1080 Ti · 11 GB,5.0 out of 5 stars.,$180.00,https://www.ebay.com/itm/166792168446?epid=24027038848&itmmeta=01HZ5T06DMYWVBCYCMDNHZNEX2&hash=item26d59683fe:g:gMAAAOSwPpZmQSvT&itmprp=enc%3AAQAJAAAA4JXofZSxugbm4OhdrC2f1y3OdGowNw4vmH7LNHizJiYdOKf%2Febu1tllVpRldnoZW6G7jCuh1%2Fl8OHffB4lwsjmur3x5CLCTMtRMtYYnh4wP9F9thjr7BKRnk%2F2JGg5sclPuTaUBXM7nh1awB71xwctqHoDoYMhbyu%2Bafi0dTx2GVabmGzsveJDDk0k6NFkBFAqETmpXodPSWaIOFIxP%2FRO%2B5KmfXFikPu8W%2Fbuype5rg465UMP2IL0vpMbakP2iuaYCnTwkjCWrnL9U%2F8uqxRgIw4tCzPHcIbBd1U32qDdqU%7Ctkp%3ABk9SR4jngLr5Yw
"Gigabyte GeForce 1660 Ti 6GB GDDR6 Graphics Card - HDMI, DisplayPort",Parts Only · GIGABYTE · NVIDIA GeForce GTX 1660 · 6 GB,,$74.99,https://www.ebay.com/itm/186376649649?itmmeta=01HZ5T06DMEEXDV53YVV2K2NWW&hash=item2b64e9fbb1:g:akIAAOSwlUdmDwp6&itmprp=enc%3AAQAJAAAA4B9yrA8bzrzxzbDGD9LmD%2BS8gWbDRWXfAt3wusUQMfQFe8nA6H7a72rZkKS8FLVYdflcfV7KfnvlxwNxIn71cjyRNmmJMoY%2BRmejElc%2F%2B644%2B3%2FLy%2FadGuiQiyw2Faz%2BKzSwsiiqGYPOEJaxVXrTYrPgMwYRKVpQ8tHQRcu%2B%2FHRX7yg9drP0h82aWHzaaFeHe%2F5wkLyfcb7EMWAm9a2dgN2PlYo1MKcrZzfKwWNMeYwziMM9LlyNVAd%2BN3iTwn09HsNxpykvpTnqEzyoMi609Pssrtz7RoXcg0JSias02FeE%7Ctkp%3ABk9SR4rngLr5Yw
